"","TIMESTAMP","Global_Energy_Tot","Direct_Energy_Tot","Diffuse_Energy_Tot","Water_Energy","Global_Efficiency"
"1",2020-08-17,7.062,6.908,1.735,NA,NA
"2",2020-08-18,6.295,5.544,2.27,NA,NA
"3",2020-08-19,6.943,6.902,1.627,NA,NA
"4",2020-08-20,6.596,5.496,2.348,NA,NA
"5",2020-08-21,5.756,2.639,3.715,NA,NA
"6",2020-08-22,5.292,2.533,3.244,NA,NA
"7",2020-08-23,5.632,3.991,2.648,NA,NA
"8",2020-08-24,5.232,3.338,2.559,NA,NA
"9",2020-08-25,5.266,2.884,2.849,NA,NA
"10",2020-08-26,5.747,4.021,2.453,NA,NA
"11",2020-08-27,3.847,0.931,3.19,NA,NA
"12",2020-08-28,1.304,0.004,1.308,NA,NA
"13",2020-08-29,3.067,0.342,2.868,NA,NA
"14",2020-08-30,5.271,2.752,3.197,NA,NA
"15",2020-08-31,4.989,3.144,2.703,NA,NA
"16",2020-09-01,5.961,4.637,2.234,NA,NA
"17",2020-09-02,5.855,3.813,2.95,NA,NA
"18",2020-09-03,6.837,6.651,1.823,3.02666666666667,0.44268928867437
"19",2020-09-04,4.623,2.651,3.017,1.52,0.328790828466364
"20",2020-09-05,6.351,5.872,2.029,2.68,0.421980790426704
"21",2020-09-06,6.888,7.725,1.242,2.88,0.418118466898955
"22",2020-09-07,6.377,6.059,1.909,2.77333333333333,0.43489624170195
"23",2020-09-08,6.144,5.584,1.899,2.56,0.416666666666667
"24",2020-09-09,4.65,2.361,2.905,1.73333333333333,0.372759856630824
"25",2020-09-10,2.975,0.712,2.589,0.826666666666667,0.277871148459384
"26",2020-09-11,2.027,0.162,1.914,0.346666666666667,0.171024502548923
"27",2020-09-12,3.77,0.74,3.205,0.933333333333333,0.247568523430592
"28",2020-09-13,2.95,1.237,2.183,0.746666666666667,0.253107344632768
"29",2020-09-14,1.088,0.002,1.092,0.213333333333333,0.196078431372549
"30",2020-09-15,1.16,0.002,1.166,0.186666666666667,0.160919540229885
"31",2020-09-16,1.234,0.004,1.243,0.293333333333333,0.237709346299298
"32",2020-09-17,0.567,0.002,0.569,0.0266666666666667,0.0470311581422693
"33",2020-09-18,0.693,0.001,0.695,0,0
"34",2020-09-19,0.94,0.004,0.944,0.173333333333333,0.184397163120567
"35",2020-09-20,3.459,1.371,2.336,1,0.289100896212778
